Folder,Analysis Result
autumn_mute,"(array([69, 36, 41]), array([175, 124, 115]), array([240, 111, 112]), array([254, 195, 165]))"
autumn_mute,"(array([43, 32, 28]), array([41, 33, 33]), array([222, 140, 150]), array([218, 179, 168]))"
autumn_mute,"(array([74, 58, 44]), array([129, 109, 110]), array([159, 107, 133]), array([184, 179, 196]))"
autumn_mute,"(array([52, 33, 25]), array([167, 158, 154]), array([196, 152, 155]), array([211, 220, 217]))"
autumn_mute,"(array([59, 40, 26]), array([14,  3,  1]), array([182,  91,  93]), array([206, 191, 173]))"
autumn_mute,"(array([76, 51, 36]), array([167, 157, 168]), array([176, 107, 130]), array([202, 200, 214]))"
autumn_mute,"(array([80, 60, 38]), array([169, 157, 118]), array([182, 122, 102]), array([224, 215, 172]))"
autumn_mute,"(array([67, 41, 40]), array([126,  90, 113]), array([201, 108, 134]), array([246, 196, 223]))"
autumn_mute,"(array([47, 37, 24]), array([117, 131, 120]), array([155, 113, 117]), array([169, 210, 191]))"
autumn_mute,"(array([88, 57, 24]), array([53, 31, 17]), array([221, 135, 121]), array([235, 201, 167]))"
autumn_mute,"(array([79, 68, 64]), array([29, 22, 22]), array([199, 145, 145]), array([220, 204, 191]))"
autumn_mute,"(array([28, 22, 22]), array([104,  78,  69]), array([153, 101, 107]), array([156, 123, 112]))"
autumn_mute,"(array([36, 22, 24]), array([58, 45, 46]), array([159, 105, 116]), array([207, 184, 175]))"
autumn_mute,"(array([102,  89,  74]), array([94, 66, 49]), array([213, 137, 164]), array([214, 214, 206]))"
autumn_mute,"(array([18,  0,  0]), array([44, 20, 17]), array([155,  78,  86]), array([156,  89,  75]))"
autumn_mute,"(array([102,  83,  74]), array([149, 119, 102]), array([209, 115, 146]), array([210, 202, 177]))"
autumn_mute,"(array([68, 70, 56]), array([129, 130, 107]), array([137,  81,  87]), array([163, 176, 161]))"
autumn_mute,"(array([53, 42, 48]), array([105, 100, 123]), array([190, 143, 209]), array([193, 189, 248]))"
autumn_mute,"(array([65, 49, 47]), array([105,  68,  57]), array([132,  44,  59]), array([218, 168, 169]))"
autumn_mute,"(array([94, 81, 61]), array([140, 129, 130]), array([177,  99, 134]), array([178, 188, 205]))"
autumn_mute,"(array([37, 19, 18]), array([86, 59, 56]), array([181,  91, 102]), array([220, 197, 188]))"
autumn_mute,"(array([36,  9, 10]), array([78, 56, 52]), array([200, 112, 114]), array([215, 180, 156]))"
autumn_mute,"(array([50, 29, 26]), array([119, 105,  96]), array([209, 131, 125]), array([225, 193, 165]))"
autumn_mute,"(array([61, 38, 34]), array([170, 144, 128]), array([203, 101, 110]), array([227, 212, 193]))"
autumn_mute,"(array([47, 28, 24]), array([120,  80,  63]), array([156,  77,  76]), array([180, 160, 140]))"
autumn_mute,"(array([50, 35, 29]), array([112,  97,  89]), array([190, 128, 118]), array([232, 194, 171]))"
autumn_mute,"(array([47, 27, 26]), array([82, 66, 72]), array([211, 123, 137]), array([245, 178, 173]))"
autumn_mute,"(array([38, 32, 27]), array([45, 38, 33]), array([132,  56,  55]), array([214, 190, 186]))"
autumn_mute,"(array([47, 39, 38]), array([102,  81,  70]), array([157, 109, 112]), array([172, 163, 163]))"
summer_mute,"(array([64, 47, 45]), array([165, 128, 116]), array([210, 111, 106]), array([253, 201, 179]))"
summer_mute,"(array([61, 44, 39]), array([48, 38, 38]), array([197, 136, 142]), array([214, 202, 186]))"
summer_mute,"(array([57, 37, 35]), array([157, 147, 145]), array([183, 114, 118]), array([212, 202, 191]))"
summer_mute,"(array([37, 25, 27]), array([68, 62, 62]), array([138,  93, 108]), array([143, 124, 123]))"
summer_mute,"(array([13, 10, 15]), array([143, 116, 102]), array([248, 168, 178]), array([235, 207, 180]))"
summer_mute,"(array([69, 56, 45]), array([142, 133, 119]), array([227, 169, 149]), array([225, 221, 186]))"
summer_mute,"(array([32, 24, 28]), array([158, 147, 139]), array([224, 139, 146]), array([231, 213, 194]))"
summer_mute,"(array([16, 14, 10]), array([48, 49, 36]), array([146,  81,  86]), array([169, 145, 132]))"
summer_mute,"(array([9, 2, 3]), array([100,  84,  75]), array([195, 111, 121]), array([187, 164, 144]))"
summer_mute,"(array([43, 33, 30]), array([146, 120, 106]), array([158,  85,  85]), array([210, 170, 155]))"
summer_mute,"(array([84, 78, 70]), array([77, 65, 58]), array([210, 134, 146]), array([242, 228, 201]))"
summer_mute,"(array([34, 29, 42]), array([108,  91, 121]), array([140,  82, 119]), array([176, 151, 200]))"
summer_mute,"(array([37, 30, 29]), array([115, 111, 128]), array([157, 103, 122]), array([188, 189, 213]))"
summer_mute,"(array([31, 21, 19]), array([70, 51, 43]), array([126,  71,  80]), array([161, 135, 119]))"
summer_mute,"(array([85, 76, 81]), array([127, 118, 120]), array([119,  58,  76]), array([182, 174, 182]))"
summer_mute,"(array([67, 48, 39]), array([154, 136, 121]), array([192, 139, 138]), array([239, 223, 213]))"
summer_mute,"(array([22, 13, 13]), array([91, 72, 68]), array([107,  42,  50]), array([121,  91,  84]))"
summer_mute,"(array([25, 19, 11]), array([64, 45, 33]), array([148,  83,  96]), array([181, 166, 158]))"
summer_mute,"(array([28, 22, 23]), array([88, 86, 87]), array([135, 103, 100]), array([189, 181, 178]))"
summer_mute,"(array([34,  3,  0]), array([167, 158, 154]), array([161, 126, 123]), array([202, 203, 204]))"
summer_mute,"(array([47, 33, 34]), array([60, 43, 41]), array([122,  72,  74]), array([165, 138, 121]))"
summer_mute,"(array([46, 17, 10]), array([185, 137, 106]), array([230, 129, 106]), array([254, 206, 161]))"
